,Player,Pos,Year,Tm
2,Charlie Garner,RB,2000,SFO
3,Fred Beasley,FB,2000,SFO
4,Terrell Owens,WR,2000,SFO
5,Jerry Rice,WR,2000,SFO
6,Greg Clark,TE,2000,SFO
1,Jon Kitna,QB,2000,SEA
2,Ricky Watters,RB,2000,SEA
3,Mack Strong,FB,2000,SEA
4,Sean Dawkins,WR,2000,SEA
5,Darrell Jackson,WR,2000,SEA
6,Christian Fauria,TE,2000,SEA
1,Shaun King,QB,2000,TAM
2,Warrick Dunn,RB,2000,TAM
3,Mike Alstott,FB,2000,TAM
4,Jacquez Green,WR,2000,TAM
5,Keyshawn Johnson,WR,2000,TAM
6,Dave Moore,TE,2000,TAM
1,Steve McNair,QB,2000,TEN
2,Eddie George,RB,2000,TEN
3,Derrick Mason,WR,2000,TEN
4,Chris Sanders,WR,2000,TEN
5,Erron Kinney,TE,2000,TEN
6,Frank Wycheck,TE,2000,TEN
1,Brad Johnson,QB,2000,WAS
2,Stephen Davis,RB,2000,WAS
3,Albert Connell,WR,2000,WAS
4,James Thrash,WR,2000,WAS
5,Stephen Alexander,TE,2000,WAS
6,Mike Sellers,TE,2000,WAS
1,Jake Plummer,QB,2001,ARI
2,Michael Pittman,RB,2001,ARI
3,Joel Makovicka,FB,2001,ARI
4,David Boston,WR,2001,ARI
5,Frank Sanders,WR,2001,ARI
6,Steve Bush,TE,2001,ARI
1,Chris Chandler,QB,2001,ATL
2,Maurice Smith,RB,2001,ATL
3,Tony Martin,WR,2001,ATL
4,Terance Mathis,WR,2001,ATL
5,Alge Crumpler,TE,2001,ATL
6,Reggie Kelly,TE,2001,ATL
1,Elvis Grbac,QB,2001,BAL
2,Terry Allen,RB,2001,BAL
3,Qadry Ismail,WR,2001,BAL
4,Travis Taylor,WR,2001,BAL
5,Todd Heap,TE,2001,BAL
6,Shannon Sharpe,TE,2001,BAL
1,Rob Johnson,QB,2001,BUF
2,Travis Henry,RB,2001,BUF
3,Larry Centers,FB,2001,BUF
4,Eric Moulds,WR,2001,BUF
5,Peerless Price,WR,2001,BUF
6,Jay Riemersma,TE,2001,BUF
1,Chris Weinke,QB,2001,CAR
2,Richard Huntley,RB,2001,CAR
3,Donald Hayes,WR,2001,CAR
4,Muhsin Muhammad,WR,2001,CAR
5,Kris Mangum,TE,2001,CAR
6,Wesley Walls,TE,2001,CAR
1,Jim Miller,QB,2001,CHI
2,Anthony Thomas,RB,2001,CHI
3,Daimon Shelton,FB,2001,CHI
4,Marty Booker,WR,2001,CHI
5,Dez White,WR,2001,CHI
6,Fred Baxter,TE,2001,CHI
1,Jon Kitna,QB,2001,CIN
2,Corey Dillon,RB,2001,CIN
3,Lorenzo Neal,FB,2001,CIN
4,Darnay Scott,WR,2001,CIN
5,Peter Warrick,WR,2001,CIN
6,Tony McGee,TE,2001,CIN
1,Tim Couch,QB,2001,CLE
2,James Jackson,RB,2001,CLE
3,Kevin Johnson,WR,2001,CLE
4,Quincy Morgan,WR,2001,CLE
5,OJ Santiago,TE,2001,CLE
6,Mike Sellers,TE,2001,CLE
1,Quincy Carter,QB,2001,DAL
2,Emmitt Smith,RB,2001,DAL
3,Troy Hambrick,FB,2001,DAL
4,Joey Galloway,WR,2001,DAL
5,Rocket Ismail,WR,2001,DAL
6,Jackie Harris,TE,2001,DAL
1,Brian Griese,QB,2001,DEN
2,Terrell Davis,RB,2001,DEN
3,Patrick Hape,FB,2001,DEN
4,Eddie Kennison,WR,2001,DEN
5,Rod Smith,WR,2001,DEN
6,Dwayne Carswell,TE,2001,DEN
1,Charlie Batch,QB,2001,DET
2,James Stewart,RB,2001,DET
3,Cory Schlesinger,FB,2001,DET
4,Larry Foster,WR,2001,DET
5,Johnnie Morton,WR,2001,DET
6,David Sloan,TE,2001,DET
1,Brett Favre,QB,2001,GNB
2,Ahman Green,RB,2001,GNB
3,William Henderson,FB,2001,GNB
4,Antonio Freeman,WR,2001,GNB
5,Bill Schroeder,WR,2001,GNB
6,Bubba Franks,TE,2001,GNB
1,Peyton Manning,QB,2001,IND
2,Dominic Rhodes,RB,2001,IND
3,Marvin Harrison,WR,2001,IND
4,Reggie Wayne,WR,2001,IND
5,Ken Dilger,TE,2001,IND
6,Marcus Pollard,TE,2001,IND
1,Mark Brunell,QB,2001,JAX
2,Stacey Mack,RB,2001,JAX
3,Patrick Washington,FB,2001,JAX
4,Keenan McCardell,WR,2001,JAX
5,Jimmy Smith,WR,2001,JAX
6,Kyle Brady,TE,2001,JAX
1,Trent Green,QB,2001,KAN
2,Priest Holmes,RB,2001,KAN
3,Tony Richardson,FB,2001,KAN
